Date,Prefucture,Newly confirmed cases HERSYS,Newly confirmed cases
2022-09-16,Fukuoka,2550,0
2022-09-16,Saga,77,0
2022-09-16,Nagasaki,119,0
2022-09-16,Kumamoto,1168,0
2022-09-16,Oita,601,0
2022-09-16,Miyazaki,701,0
2022-09-16,Kagoshima,1059,0
2022-09-16,Okinawa,694,0
2022-09-17,ALL,63904,0
2022-09-17,Hokkaido,2243,0
2022-09-17,Aomori,458,0
2022-09-17,Iwate,454,0
2022-09-17,Miyagi,186,0
2022-09-17,Akita,557,0
2022-09-17,Yamagata,85,0
2022-09-17,Fukushima,993,0
2022-09-17,Ibaraki,249,0
2022-09-17,Tochigi,979,0
2022-09-17,Gunma,974,0
2022-09-17,Saitama,4201,0
2022-09-17,Chiba,3114,0
2022-09-17,Tokyo,7804,0
2022-09-17,Kanagawa,3881,0
2022-09-17,Niigata,1047,0
2022-09-17,Toyama,514,0
2022-09-17,Ishikawa,677,0
2022-09-17,Fukui,516,0
2022-09-17,Yamanashi,282,0
2022-09-17,Nagano,991,0
2022-09-17,Gifu,1114,0
2022-09-17,Shizuoka,1908,0
2022-09-17,Aichi,5108,0
2022-09-17,Mie,210,0
2022-09-17,Shiga,971,0
2022-09-17,Kyoto,1518,0
2022-09-17,Osaka,5649,0
2022-09-17,Hyogo,2796,0
2022-09-17,Nara,788,0
2022-09-17,Wakayama,526,0
2022-09-17,Tottori,45,0
2022-09-17,Shimane,279,0
2022-09-17,Okayama,1212,0
2022-09-17,Hiroshima,1934,0
2022-09-17,Yamaguchi,674,0
2022-09-17,Tokushima,295,0
2022-09-17,Kagawa,698,0
2022-09-17,Ehime,648,0
2022-09-17,Kochi,385,0
2022-09-17,Fukuoka,2512,0
2022-09-17,Saga,77,0
2022-09-17,Nagasaki,130,0
2022-09-17,Kumamoto,987,0
2022-09-17,Oita,640,0
2022-09-17,Miyazaki,832,0
2022-09-17,Kagoshima,1104,0
2022-09-17,Okinawa,659,0
2022-09-18,ALL,48732,0
2022-09-18,Hokkaido,1899,0
2022-09-18,Aomori,305,0
2022-09-18,Iwate,335,0
2022-09-18,Miyagi,149,0
2022-09-18,Akita,438,0
2022-09-18,Yamagata,49,0
2022-09-18,Fukushima,746,0
2022-09-18,Ibaraki,197,0
2022-09-18,Tochigi,761,0
2022-09-18,Gunma,819,0
2022-09-18,Saitama,3154,0
2022-09-18,Chiba,2467,0
2022-09-18,Tokyo,5953,0
2022-09-18,Kanagawa,2936,0
2022-09-18,Niigata,814,0
2022-09-18,Toyama,413,0
2022-09-18,Ishikawa,477,0
2022-09-18,Fukui,444,0
2022-09-18,Yamanashi,218,0
2022-09-18,Nagano,720,0
2022-09-18,Gifu,895,0
2022-09-18,Shizuoka,1442,0
2022-09-18,Aichi,3666,0
2022-09-18,Mie,153,0
2022-09-18,Shiga,832,0
2022-09-18,Kyoto,1053,0
2022-09-18,Osaka,3884,0
2022-09-18,Hyogo,2053,0
2022-09-18,Nara,545,0
2022-09-18,Wakayama,426,0
2022-09-18,Tottori,27,0
2022-09-18,Shimane,208,0
2022-09-18,Okayama,1000,0
2022-09-18,Hiroshima,1685,0
2022-09-18,Yamaguchi,553,0
2022-09-18,Tokushima,246,0
2022-09-18,Kagawa,573,0
2022-09-18,Ehime,430,0
2022-09-18,Kochi,279,0
2022-09-18,Fukuoka,2044,0
2022-09-18,Saga,64,0
2022-09-18,Nagasaki,91,0
2022-09-18,Kumamoto,828,0
2022-09-18,Oita,483,0
2022-09-18,Miyazaki,573,0
2022-09-18,Kagoshima,874,0
2022-09-18,Okinawa,531,0
2022-09-19,ALL,26026,0
2022-09-19,Hokkaido,1316,0
2022-09-19,Aomori,188,0
2022-09-19,Iwate,254,0
2022-09-19,Miyagi,84,0
2022-09-19,Akita,211,0
2022-09-19,Yamagata,32,0
2022-09-19,Fukushima,487,0
2022-09-19,Ibaraki,70,0
2022-09-19,Tochigi,412,0
2022-09-19,Gunma,551,0
2022-09-19,Saitama,1712,0
2022-09-19,Chiba,1355,0
2022-09-19,Tokyo,3454,0
2022-09-19,Kanagawa,1350,0
2022-09-19,Niigata,510,0
2022-09-19,Toyama,221,0
2022-09-19,Ishikawa,282,0
2022-09-19,Fukui,280,0
2022-09-19,Yamanashi,111,0
2022-09-19,Nagano,446,0
2022-09-19,Gifu,454,0
2022-09-19,Shizuoka,634,0
2022-09-19,Aichi,1817,0
2022-09-19,Mie,55,0
2022-09-19,Shiga,340,0
2022-09-19,Kyoto,496,0
2022-09-19,Osaka,2324,0
2022-09-19,Hyogo,859,0
2022-09-19,Nara,278,0
2022-09-19,Wakayama,320,0
2022-09-19,Tottori,26,0
2022-09-19,Shimane,148,0
2022-09-19,Okayama,635,0
2022-09-19,Hiroshima,934,0
2022-09-19,Yamaguchi,354,0
2022-09-19,Tokushima,113,0
2022-09-19,Kagawa,298,0
2022-09-19,Ehime,275,0
2022-09-19,Kochi,129,0
2022-09-19,Fukuoka,831,0
2022-09-19,Saga,30,0
2022-09-19,Nagasaki,33,0
2022-09-19,Kumamoto,263,0
2022-09-19,Oita,320,0
2022-09-19,Miyazaki,235,0
2022-09-19,Kagoshima,204,0
2022-09-19,Okinawa,295,0
2022-09-20,ALL,23625,0
2022-09-20,Hokkaido,1160,0
2022-09-20,Aomori,240,0
2022-09-20,Iwate,300,0
2022-09-20,Miyagi,52,0
2022-09-20,Akita,179,0
2022-09-20,Yamagata,37,0
2022-09-20,Fukushima,545,0
2022-09-20,Ibaraki,59,0
2022-09-20,Tochigi,410,0
2022-09-20,Gunma,539,0
2022-09-20,Saitama,1303,0
2022-09-20,Chiba,1460,0
2022-09-20,Tokyo,3204,0
2022-09-20,Kanagawa,1155,0
2022-09-20,Niigata,473,0
2022-09-20,Toyama,216,0
2022-09-20,Ishikawa,273,0
2022-09-20,Fukui,210,0
2022-09-20,Yamanashi,87,0
2022-09-20,Nagano,457,0
2022-09-20,Gifu,460,0
2022-09-20,Shizuoka,450,0
2022-09-20,Aichi,1587,0
2022-09-20,Mie,29,0
2022-09-20,Shiga,392,0
2022-09-20,Kyoto,329,0
2022-09-20,Osaka,2111,0
2022-09-20,Hyogo,563,0
2022-09-20,Nara,241,0
2022-09-20,Wakayama,249,0
2022-09-20,Tottori,21,0
2022-09-20,Shimane,135,0
2022-09-20,Okayama,526,0
2022-09-20,Hiroshima,571,0
2022-09-20,Yamaguchi,220,0
2022-09-20,Tokushima,80,0
2022-09-20,Kagawa,252,0
2022-09-20,Ehime,331,0
2022-09-20,Kochi,110,0
2022-09-20,Fukuoka,724,0
2022-09-20,Saga,30,0
2022-09-20,Nagasaki,32,0
2022-09-20,Kumamoto,352,0
2022-09-20,Oita,241,0
2022-09-20,Miyazaki,356,0
2022-09-20,Kagoshima,558,0
2022-09-20,Okinawa,316,0
2022-09-21,ALL,85668,0
2022-09-21,Hokkaido,3879,0
2022-09-21,Aomori,588,0
2022-09-21,Iwate,686,0
2022-09-21,Miyagi,213,0
2022-09-21,Akita,1150,0
2022-09-21,Yamagata,88,0
2022-09-21,Fukushima,1147,0
2022-09-21,Ibaraki,301,0
2022-09-21,Tochigi,1207,0
2022-09-21,Gunma,1187,0
2022-09-21,Saitama,4982,0
2022-09-21,Chiba,4124,0
2022-09-21,Tokyo,9479,0
2022-09-21,Kanagawa,5022,0
2022-09-21,Niigata,1426,0
2022-09-21,Toyama,709,0
2022-09-21,Ishikawa,899,0
2022-09-21,Fukui,593,0
2022-09-21,Yamanashi,472,0
2022-09-21,Nagano,1242,0
2022-09-21,Gifu,1689,0
2022-09-21,Shizuoka,3004,0
2022-09-21,Aichi,7108,0
2022-09-21,Mie,249,0
2022-09-21,Shiga,1567,0
2022-09-21,Kyoto,1929,0
2022-09-21,Osaka,7774,0
2022-09-21,Hyogo,4022,0
2022-09-21,Nara,1262,0
2022-09-21,Wakayama,830,0
2022-09-21,Tottori,49,0
2022-09-21,Shimane,486,0
2022-09-21,Okayama,1293,0
2022-09-21,Hiroshima,2460,0
2022-09-21,Yamaguchi,1015,0
2022-09-21,Tokushima,545,0
2022-09-21,Kagawa,938,0
2022-09-21,Ehime,887,0
2022-09-21,Kochi,739,0
2022-09-21,Fukuoka,3568,0
2022-09-21,Saga,133,0
2022-09-21,Nagasaki,150,0
2022-09-21,Kumamoto,1657,0
2022-09-21,Oita,691,0
2022-09-21,Miyazaki,1086,0
2022-09-21,Kagoshima,348,0
2022-09-21,Okinawa,795,0
2022-09-22,ALL,60366,0
2022-09-22,Hokkaido,2980,0
2022-09-22,Aomori,398,0
2022-09-22,Iwate,431,0
2022-09-22,Miyagi,164,0
2022-09-22,Akita,562,0
2022-09-22,Yamagata,72,0
2022-09-22,Fukushima,909,0
2022-09-22,Ibaraki,199,0
2022-09-22,Tochigi,914,0
2022-09-22,Gunma,919,0
2022-09-22,Saitama,4016,0
2022-09-22,Chiba,3184,0
2022-09-22,Tokyo,7972,0
2022-09-22,Kanagawa,3813,0
2022-09-22,Niigata,1014,0
2022-09-22,Toyama,506,0
2022-09-22,Ishikawa,605,0
2022-09-22,Fukui,508,0
2022-09-22,Yamanashi,292,0
2022-09-22,Nagano,779,0
2022-09-22,Gifu,1040,0
2022-09-22,Shizuoka,1710,0
2022-09-22,Aichi,4393,0
2022-09-22,Mie,154,0
2022-09-22,Shiga,937,0
2022-09-22,Kyoto,1355,0
2022-09-22,Osaka,5409,0
2022-09-22,Hyogo,2347,0
2022-09-22,Nara,730,0
2022-09-22,Wakayama,483,0
2022-09-22,Tottori,48,0
2022-09-22,Shimane,242,0
2022-09-22,Okayama,1189,0
2022-09-22,Hiroshima,2037,0
2022-09-22,Yamaguchi,589,0
2022-09-22,Tokushima,307,0
2022-09-22,Kagawa,519,0
