日付	国内合計	北海道	青森県	岩手県	宮城県	秋田県	山形県	福島県	茨城県	栃木県	群馬県	埼玉県	千葉県	東京都	神奈川県	新潟県	富山県	石川県	福井県	山梨県	長野県	岐阜県	静岡県	愛知県	三重県	滋賀県	京都府	大阪府	兵庫県	奈良県	和歌山県	鳥取県	島根県	岡山県	広島県	山口県	徳島県	香川県	愛媛県	高知県	福岡県	佐賀県	長崎県	熊本県	大分県	宮崎県	鹿児島県	沖縄県
2020/1/16																																																
2020/1/17																																																
2020/1/18																																																
2020/1/19																																																
2020/1/20																																																
2020/1/21																																																
2020/1/22	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020/1/23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020/1/24	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020/1/25	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020/1/26	0.43	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020/1/27	0.43	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020/1/28	0.86	0.14	0	0	0	0	0	0	0	0	0	0	0	0.29	0	0	0	0	0	0	0	0	0	0.29	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020/1/29	1	0.14	0	0	0	0	0	0	0	0	0	0	0	0.29	0	0	0	0	0	0	0	0	0	0.29	0	0	0	0.14	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020/1/30	1.57	0.14	0	0	0	0	0	0	0	0	0	0	0.14	0.43	0	0	0	0	0	0	0	0	0	0.29	0.14	0	0.14	0.14	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020/1/31	1.43	0.14	0	0	0	0	0	0	0	0	0	0	0.14	0.29	0	0	0	0	0	0	0	0	0	0.29	0.14	0	0.14	0.14	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020/2/1	1.29	0.14	0	0	0	0	0	0	0	0	0	0	0.14	0.14	0	0	0	0	0	0	0	0	0	0.29	0.14	0	0.14	0.14	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020/2/2	1.14	0.14	0	0	0	0	0	0	0	0	0	0	0.14	0.14	0	0	0	0	0	0	0	0	0	0.14	0.14	0	0.14	0.14	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
