日付	国内合計	北海道	青森県	岩手県	宮城県	秋田県	山形県	福島県	茨城県	栃木県	群馬県	埼玉県	千葉県	東京都	神奈川県	新潟県	富山県	石川県	福井県	山梨県	長野県	岐阜県	静岡県	愛知県	三重県	滋賀県	京都府	大阪府	兵庫県	奈良県	和歌山県	鳥取県	島根県	岡山県	広島県	山口県	徳島県	香川県	愛媛県	高知県	福岡県	佐賀県	長崎県	熊本県	大分県	宮崎県	鹿児島県	沖縄県
2020/12/12	3.07449650066975	3.79047619047619	1.12359550561798	2.11898940505297	1.040763226366	0	0.649350649350649	1.78764897074756	3.95104895104895	3.61944157187177	2.52317198764161	2.82993197278912	1.5976993129893	3.03139142302995	4.42487497282018	0	0.862068965517241	0	1.82291666666667	0	1.17130307467057	0.704579768495219	2.6344676180022	2.6218220338983	2.1336327905671	0.636492220650636	2.1680216802168	11.7152911794755	5.3055250640322	3.45864661654135	5.62162162162162	0	0.593471810089021	1.53439153439153	1.8188302425107	1.54639175257732	0.549450549450549	0	1.56833457804332	0.573065902578797	1.41065830721003	0	0	2.97482837528604	0.969162995594714	0.65237651444548	0.436953807740325	3.16586373021335
2020/12/13	3.1204673171273	3.94285714285714	1.12359550561798	2.11898940505297	0.954032957502168	0	0.649350649350649	1.73347778981582	3.81118881118881	3.67114788004137	2.67765190525232	2.91156462585034	1.61367630611919	3.14632569499318	4.2944118286584	0	0.957854406130268	0	1.82291666666667	0	1.22010736944851	0.805234021137393	2.79912184412733	2.60858050847458	2.1336327905671	0.636492220650636	2.20673635307782	11.9082756271995	5.39699963410172	3.45864661654135	6.05405405405405	0	0.593471810089021	1.42857142857143	1.96148359486448	1.54639175257732	0.412087912087912	0	1.34428678117999	0.716332378223496	1.46943573667712	0	0	3.03203661327231	1.05726872246696	0.65237651444548	0.436953807740325	3.30350997935306
2020/12/14	3.16485293301735	4.09523809523809	1.12359550561798	2.11898940505297	0.910667823070252	0	0.649350649350649	1.62513542795233	3.63636363636364	3.72285418821096	2.67765190525232	3.06122448979592	1.61367630611919	3.2756267509518	4.19656447053707	0	0.862068965517241	0	1.82291666666667	0	1.26891166422645	0.905888273779567	2.85400658616905	2.6218220338983	2.1336327905671	0.636492220650636	2.1680216802168	12.07855602225	5.47017929015734	3.45864661654135	6.59459459459459	0	0.593471810089021	1.32275132275132	2.10413694721826	1.620029455081	0.274725274725275	0	1.12023898431665	0.859598853868195	1.5282131661442	0	0	3.08924485125858	1.23348017621145	0.65237651444548	0.436953807740325	3.37233310392292
2020/12/15	3.21478675089366	4.24761904761905	1.12359550561798	2.03748981255094	0.910667823070252	0	0.649350649350649	1.57096424702058	3.46153846153846	3.72285418821096	2.57466529351184	3.27891156462585	1.5817223198594	3.40492780691042	4.12046096977604	0	0.766283524904214	0	1.82291666666667	0.123304562268804	1.31771595900439	1.05686965274283	2.93633369923161	2.64830508474576	2.07748455923638	0.565770862800566	2.1680216802168	12.2147803382904	5.54335894621295	3.30827067669173	6.91891891891892	0.179856115107914	0.741839762611276	1.21693121693122	2.38944365192582	1.76730486008837	0.137362637362637	0	1.04555638536221	1.00286532951289	1.56739811912226	0	0.150715900527506	3.14645308924485	1.3215859030837	0.65237651444548	0.436953807740325	3.37233310392292
2020/12/16	3.26392796848621	4.43809523809524	1.12359550561798	1.9559902200489	0.910667823070252	0	0.649350649350649	1.4626218851571	3.32167832167832	3.77456049638056	2.42018537590113	3.42857142857143	1.5817223198594	3.47676172688744	4.09871711241574	0	0.670498084291188	0	1.69270833333333	0.246609124537608	1.41532454856027	1.30850528434826	2.99121844127333	2.74099576271186	2.02133632790567	0.495049504950495	2.1680216802168	12.3283006016574	5.57994877424076	3.53383458646617	6.91891891891892	0.359712230215827	0.890207715133531	1.11111111111111	2.63908701854494	1.91458026509573	0	0	1.04555638536221	1.00286532951289	1.62617554858934	0	0.301431801055011	3.08924485125858	1.49779735682819	0.745573159366263	0.436953807740325	3.30350997935306
2020/12/17	3.30752098409251	4.4952380952381	1.12359550561798	1.87449062754686	0.910667823070252	0	0.649350649350649	1.4626218851571	3.18181818181818	3.87797311271975	2.16271884654995	3.53741496598639	1.64563029237897	3.52704547087135	4.044357469015	0	0.670498084291188	0	1.69270833333333	0.369913686806412	1.61054172767204	1.50981378963261	2.93633369923161	2.86016949152542	1.96518809657496	0.495049504950495	2.1680216802168	12.4077647860143	5.65312843029638	3.83458646616541	6.81081081081081	0.539568345323741	1.03857566765579	1.11111111111111	2.85306704707561	2.06185567010309	0	0	1.04555638536221	0.859598853868195	1.68495297805643	0	0.452147701582517	2.97482837528604	1.85022026431718	0.838769804287046	0.436953807740325	3.30350997935306
2020/12/18	3.32337298976753	4.53333333333333	1.12359550561798	1.79299103504482	0.954032957502168	0	0.742115027829314	1.51679306608884	3.07692307692308	3.98138572905894	2.05973223480947	3.60544217687075	1.66160728550887	3.51986207887364	4.02261361165471	0	0.670498084291188	0	1.69270833333333	0.493218249075216	1.8057589067838	1.5601409159537	2.79912184412733	2.96610169491525	1.96518809657496	0.495049504950495	2.1680216802168	12.419116812351	5.65312843029638	4.06015037593985	6.37837837837838	0.719424460431655	1.03857566765579	1.11111111111111	2.85306704707561	2.20913107511046	0	0	1.04555638536221	0.716332378223496	1.72413793103448	0	0.602863602110023	2.80320366132723	2.11453744493392	0.931966449207828	0.436953807740325	3.30350997935306
2020/12/19	3.33129899260504	4.55238095238095	1.12359550561798	1.62999185004075	0.997398091934085	0	0.834879406307978	1.57096424702058	2.93706293706294	3.98138572905894	1.956745623069	3.65986394557823	1.67758427863876	3.47676172688744	4.00086975429441	0	0.670498084291188	0	1.69270833333333	0.61652281134402	1.95217179111762	1.61046804227479	2.66190998902305	3.04555084745763	1.90903986524424	0.495049504950495	2.1680216802168	12.4872289703712	5.63483351628247	4.28571428571429	5.94594594594595	0.899280575539568	1.03857566765579	1.11111111111111	2.85306704707561	2.35640648011782	0	0	1.12023898431665	0.573065902578797	1.76332288401254	0.122699386503067	0.753579502637528	2.63157894736842	2.37885462555066	1.02516309412861	0.436953807740325	3.23468685478321
2020/12/20	3.3431879968613	4.60952380952381	1.12359550561798	1.62999185004075	1.040763226366	0	0.927643784786642	1.62513542795233	2.86713286713287	3.92967942088935	1.85375901132853	3.72789115646259	1.70953826489855	3.44802815889663	3.97912589693412	0	0.670498084291188	0	1.69270833333333	0.739827373612824	2.0497803806735	1.71112229491696	2.52469813391877	3.16472457627119	1.85289163391353	0.495049504950495	2.1680216802168	12.4872289703712	5.63483351628247	4.43609022556391	5.51351351351351	1.07913669064748	1.03857566765579	1.11111111111111	2.85306704707561	2.50368188512518	0	0	1.1949215832711	0.573065902578797	1.78291536050157	0.245398773006135	0.904295403165034	2.40274599542334	2.6431718061674	1.11835973904939	0.436953807740325	3.16586373021335
2020/12/21	3.36538080480633	4.60952380952381	1.12359550561798	1.62999185004075	1.17085862966175	0	1.2987012987013	1.73347778981582	2.83216783216783	3.92967942088935	1.90525231719876	3.6734693877551	1.8054002236779	3.37619423891962	3.98999782561426	0	0.670498084291188	0	1.5625	0.863131935881628	2.09858467545144	1.81177654755913	2.36004390779363	3.24417372881356	1.79674340258282	0.495049504950495	2.36159504452187	12.5893972074015	5.67142334431028	4.66165413533835	5.40540540540541	1.2589928057554	1.03857566765579	1.11111111111111	2.9243937232525	2.57731958762887	0	0	1.34428678117999	0.859598853868195	1.74373040752351	0.368098159509202	1.05501130369254	2.17391304347826	2.81938325991189	1.11835973904939	0.436953807740325	3.0970406056435
